gallery_pt,query_pt,gallery_csv,query_csv,g_x_col,g_y_col,q_x_col,q_y_col,success_radius_m,w_vis,window_size,formation_offset,top_k,epsilon_m,sigma,w_geo,w_angle,w_skip,r1,r5,r10,c1,c5,c10,improvement
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,100.0,1.5,2.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,54.767184035476724,64.07982261640798,66.96230598669624,18.847006651884705
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,150.0,1.0,2.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,54.767184035476724,64.7450110864745,66.96230598669624,18.847006651884705
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,150.0,1.0,3.0,0.5,35.791757049891544,55.53145336225597,64.20824295010846,54.66377440347071,64.8590021691974,67.24511930585683,18.872017353579167
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,3,5,20,200.0,150.0,1.5,3.0,1.0,35.791757049891544,55.53145336225597,64.20824295010846,54.66377440347071,64.8590021691974,67.24511930585683,18.872017353579167
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,100.0,1.5,3.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,54.54545454545454,64.96674057649668,66.96230598669624,18.62527716186252
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,100.0,1.5,2.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,54.54545454545454,64.7450110864745,67.1840354767184,18.62527716186252
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,100.0,1.5,3.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,54.54545454545454,63.63636363636363,66.74057649667405,18.62527716186252
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,150.0,1.0,1.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,54.54545454545454,63.63636363636363,66.74057649667405,18.62527716186252
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,200.0,150.0,1.0,1.0,0.5,35.92017738359202,55.654101995565405,64.07982261640798,54.54545454545454,63.63636363636363,66.74057649667405,18.62527716186252
sate02res.pt,uav02res.pt,gallery/gallery.csv,ground_truth.csv,center_x_m,center_y_m,drone_x_m,drone_y_m,150.0,1.0,5,5,20,300.0,100.0,1.5,3.0,1.0,35.92017738359202,55.654101995565405,64.07982261640798,54.54545454545454,64.96674057649668,67.1840354767184,18.62527716186252
